event_id,state,state_fips,cz_fips,cz_name,begin_location,event_type,cz_type,begin_day,begin_month,begin_year,end_day,end_year,end_month,event_type_coarse,date,gsb95_ndvi,gsb19_ndvi,gsb_95_00_ndvi,jb95_ndvi,jb19_ndvi,jb_95_00_ndvi,sob95_ndvi,sob19_ndvi,sob_95_00_ndvi,day,monthly_msl
5717788,NEW YORK,36,81,QUEENS,LONG IS CITY,Flood,C,26,8,1999,26,1999,8,Flood,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717908,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,26,8,1999,26,1999,8,Flood,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717908,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,26,8,1999,26,1999,8,Flood,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717759,NEW YORK,36,103,SUFFOLK,PORT JEFFERSON,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717759,NEW YORK,36,103,SUFFOLK,PORT JEFFERSON,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717760,NEW YORK,36,103,SUFFOLK,FARMINGVILLE,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717760,NEW YORK,36,103,SUFFOLK,FARMINGVILLE,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717758,NEW YORK,36,103,SUFFOLK,CENTEREACH,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717758,NEW YORK,36,103,SUFFOLK,CENTEREACH,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717764,NEW YORK,36,103,SUFFOLK,DEER PARK,Flash Flood,C,11,8,1999,11,1999,8,Flood,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717764,NEW YORK,36,103,SUFFOLK,DEER PARK,Flash Flood,C,11,8,1999,11,1999,8,Flood,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717757,NEW YORK,36,81,QUEENS,ROCKAWAY BEACH,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717757,NEW YORK,36,81,QUEENS,ROCKAWAY BEACH,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717755,NEW YORK,36,59,NASSAU,OYSTER BAY,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717755,NEW YORK,36,59,NASSAU,OYSTER BAY,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5169542,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flash Flood,C,11,8,2000,11,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169542,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flash Flood,C,11,8,2000,11,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169548,NEW YORK,36,59,NASSAU,BAYVILLE,Flash Flood,C,12,8,2000,12,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169548,NEW YORK,36,59,NASSAU,BAYVILLE,Flash Flood,C,12,8,2000,12,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169549,NEW YORK,36,81,QUEENS,KENNEDY INTL ARPT,Flash Flood,C,12,8,2000,12,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169549,NEW YORK,36,81,QUEENS,KENNEDY INTL ARPT,Flash Flood,C,12,8,2000,12,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169540,NEW YORK,36,59,NASSAU,NORTHWEST PORTION,Flash Flood,C,28,8,2000,28,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169540,NEW YORK,36,59,NASSAU,NORTHWEST PORTION,Flash Flood,C,28,8,2000,28,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169537,NEW YORK,36,103,SUFFOLK,AMITYVILLE,Heavy Rain,C,14,8,2000,14,2000,8,Heavy Rain,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169537,NEW YORK,36,103,SUFFOLK,AMITYVILLE,Heavy Rain,C,14,8,2000,14,2000,8,Heavy Rain,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169541,NEW YORK,36,81,QUEENS,NORTHEAST PORTION,Flash Flood,C,28,8,2000,28,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169541,NEW YORK,36,81,QUEENS,NORTHEAST PORTION,Flash Flood,C,28,8,2000,28,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169534,NEW YORK,36,103,SUFFOLK,AMAGANSETT,Flash Flood,C,1,8,2000,1,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169534,NEW YORK,36,103,SUFFOLK,AMAGANSETT,Flash Flood,C,1,8,2000,1,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5265156,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265156,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265156,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265154,NEW YORK,36,81,QUEENS,BAYSIDE,Flash Flood,C,13,8,2001,13,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265154,NEW YORK,36,81,QUEENS,BAYSIDE,Flash Flood,C,13,8,2001,13,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265154,NEW YORK,36,81,QUEENS,BAYSIDE,Flash Flood,C,13,8,2001,13,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265161,NEW YORK,36,81,QUEENS,RICHMOND HILL,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265161,NEW YORK,36,81,QUEENS,RICHMOND HILL,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265161,NEW YORK,36,81,QUEENS,RICHMOND HILL,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265155,NEW YORK,36,59,NASSAU,SYOSSET,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265155,NEW YORK,36,59,NASSAU,SYOSSET,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265155,NEW YORK,36,59,NASSAU,SYOSSET,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265149,NEW YORK,36,59,NASSAU,ROSLYN,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265149,NEW YORK,36,59,NASSAU,ROSLYN,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265149,NEW YORK,36,59,NASSAU,ROSLYN,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265164,NEW YORK,36,59,NASSAU,MANHASSET,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265164,NEW YORK,36,59,NASSAU,MANHASSET,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265164,NEW YORK,36,59,NASSAU,MANHASSET,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265150,NEW YORK,36,103,SUFFOLK,HAUPPAUGE,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265150,NEW YORK,36,103,SUFFOLK,HAUPPAUGE,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265150,NEW YORK,36,103,SUFFOLK,HAUPPAUGE,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265151,NEW YORK,36,103,SUFFOLK,SOUTHAMPTON,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265151,NEW YORK,36,103,SUFFOLK,SOUTHAMPTON,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265151,NEW YORK,36,103,SUFFOLK,SOUTHAMPTON,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5312916,NEW YORK,36,103,SUFFOLK,COMMACK,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5312916,NEW YORK,36,103,SUFFOLK,COMMACK,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5312916,NEW YORK,36,103,SUFFOLK,COMMACK,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5312916,NEW YORK,36,103,SUFFOLK,COMMACK,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5312917,NEW YORK,36,103,SUFFOLK,DIX HILLS,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5312917,NEW YORK,36,103,SUFFOLK,DIX HILLS,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5312917,NEW YORK,36,103,SUFFOLK,DIX HILLS,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5312917,NEW YORK,36,103,SUFFOLK,DIX HILLS,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313170,NEW YORK,36,59,NASSAU,LIDO BEACH,Flash Flood,C,29,8,2002,29,2002,8,Flood,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313170,NEW YORK,36,59,NASSAU,LIDO BEACH,Flash Flood,C,29,8,2002,29,2002,8,Flood,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313170,NEW YORK,36,59,NASSAU,LIDO BEACH,Flash Flood,C,29,8,2002,29,2002,8,Flood,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313170,NEW YORK,36,59,NASSAU,LIDO BEACH,Flash Flood,C,29,8,2002,29,2002,8,Flood,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313087,NEW YORK,36,81,QUEENS,LITTLE NECK,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313087,NEW YORK,36,81,QUEENS,LITTLE NECK,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313087,NEW YORK,36,81,QUEENS,LITTLE NECK,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313087,NEW YORK,36,81,QUEENS,LITTLE NECK,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313088,NEW YORK,36,59,NASSAU,LAKE SUCCES,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313088,NEW YORK,36,59,NASSAU,LAKE SUCCES,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313088,NEW YORK,36,59,NASSAU,LAKE SUCCES,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313088,NEW YORK,36,59,NASSAU,LAKE SUCCES,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313090,NEW YORK,36,81,QUEENS,QUEENS VLG,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313090,NEW YORK,36,81,QUEENS,QUEENS VLG,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313090,NEW YORK,36,81,QUEENS,QUEENS VLG,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313090,NEW YORK,36,81,QUEENS,QUEENS VLG,Thunderstorm Wind,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313091,NEW YORK,36,59,NASSAU,VALLEY STREAM,Flash Flood,C,16,8,2002,16,2002,8,Flood,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313091,NEW YORK,36,59,NASSAU,VALLEY STREAM,Flash Flood,C,16,8,2002,16,2002,8,Flood,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313091,NEW YORK,36,59,NASSAU,VALLEY STREAM,Flash Flood,C,16,8,2002,16,2002,8,Flood,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313091,NEW YORK,36,59,NASSAU,VALLEY STREAM,Flash Flood,C,16,8,2002,16,2002,8,Flood,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313092,NEW YORK,36,59,NASSAU,NEW HYDE PARK,Hail,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313092,NEW YORK,36,59,NASSAU,NEW HYDE PARK,Hail,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313092,NEW YORK,36,59,NASSAU,NEW HYDE PARK,Hail,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313092,NEW YORK,36,59,NASSAU,NEW HYDE PARK,Hail,C,16,8,2002,16,2002,8,Thunderstorm,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313093,NEW YORK,36,81,QUEENS,FAR ROCKAWAY,Flash Flood,C,16,8,2002,16,2002,8,Flood,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313093,NEW YORK,36,81,QUEENS,FAR ROCKAWAY,Flash Flood,C,16,8,2002,16,2002,8,Flood,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313093,NEW YORK,36,81,QUEENS,FAR ROCKAWAY,Flash Flood,C,16,8,2002,16,2002,8,Flood,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313093,NEW YORK,36,81,QUEENS,FAR ROCKAWAY,Flash Flood,C,16,8,2002,16,2002,8,Flood,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313171,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,29,8,2002,29,2002,8,Flood,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313171,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,29,8,2002,29,2002,8,Flood,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313171,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,29,8,2002,29,2002,8,Flood,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313171,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,29,8,2002,29,2002,8,Flood,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313005,NEW YORK,36,59,NASSAU,MANHASSET,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313005,NEW YORK,36,59,NASSAU,MANHASSET,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
5313005,NEW YORK,36,59,NASSAU,MANHASSET,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-06,NA,NA,NA,0.293,0.294,0.177,NA,NA,NA,6,-0.001
5313005,NEW YORK,36,59,NASSAU,MANHASSET,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-22,NA,NA,NA,0.959,0.227,0.103,NA,NA,NA,22,-0.001
5313009,NEW YORK,36,59,NASSAU,HICKSVILLE,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-15,0.397,0.324,0.389,0.302,0.135,-0.172,0.447,0.139,-0.067,15,-0.001
5313009,NEW YORK,36,59,NASSAU,HICKSVILLE,Thunderstorm Wind,C,2,8,2002,2,2002,8,Thunderstorm,2002-08-31,0.036,0.059,0.047,0.149,0.062,0.044,0.177,0.084,0.107,31,-0.001
